folioviv,ingreso_trimestral,educacion_jefe
0911675706,62065.549999999996,7
0911837901,75032.58,8
0911837902,151728.24,10
0911837903,154565.18,7
0911837904,188657.59999999998,10
0911837905,75619.55,6
0911861201,53870.69,9
0911861202,67491.0,4
0911861203,20063.53,3
0911861204,96115.98999999999,6
0911861205,42245.28999999999,7
0911894701,83999.98000000001,8
0911894702,20877.039999999997,4
0911894703,21157.36,4
0911894704,34809.81,3
0911894705,8704.9,6
0911894706,31849.16,7
0911916903,35706.51,8
0911916904,72929.31999999999,6
0911916905,200812.47,10
0911916906,13133.130000000001,6
0911969801,120590.14,6
0911969803,356434.4,11
0911969805,194114.74,11
0911969806,149213.1,10
0912033402,22304.34,4
0912033403,53828.78,10
0912033404,91650.79000000001,11
0912033405,20543.47,8
0912033406,99337.45,6
0912080001,83641.28,4
0912080002,139524.44,10
0912080003,32576.07,10
0912080005,71168.46,10
0912080006,387410.81,6
0912097601,38729.490000000005,8
0912097602,43362.26,6
0912097603,27540.98,3
0912097604,89832.72,6
0912097606,91022.94,6
0912098301,266013.56,11
0912098303,146739.12,11
0912098304,128690.20999999999,8
0912098306,37565.2,8
0912294801,181573.75,11
0912294802,25489.17,8
0912294804,49204.9,6
0912294805,76499.98000000001,6
0912294806,27472.1,6
0912398201,51314.9,6
0912398202,87710.19,9
0912398203,69389.48000000001,7
0912398204,41370.16,6
0912398205,11486.18,6
0912398206,60327.32,5
0912529401,12583.849999999999,4
0912529402,83152.15,7
0912529403,54303.24,8
0912529404,78182.59,4
0912529405,64198.35,4
0912599002,87554.34,9
0912599003,125417.89,6
0912599004,25376.07,6
0912599005,85499.98999999999,10
0912599006,276358.68,10
0912623601,44754.08,6
0912623603,23606.55,3
0912623604,4327.86,6
0912623605,33196.69,6
0912623606,144909.82,8
0912679801,26213.1,6
0912679802,37101.630000000005,4
0912679802,37101.630000000005,6
0912679803,19180.32,7
0912679804,12049.170000000002,6
0912679805,38557.33,6
0912679806,46918.01,8
0912738302,62755.42,10
0912738303,42798.899999999994,10
0912738304,62629.2,3
0912738305,45407.91,4
0912738306,57780.92,6
0912816501,476902.15,11
0912816502,120326.06999999999,11
0912816503,206665.43,10
0912816504,90978.25,11
0912816505,142336.95,10
0912816506,56895.63,10
0912924001,127198.32999999999,4
0912924002,47543.44,4
0912924003,60163.02,10
0912924004,33774.43,6
0912924005,82785.26,3
0912924006,84301.59,4
0912930301,38959.22,3
0912930302,8828.79,6
0912930303,16948.35,3
0912930304,70094.81,4
0912930305,61063.01999999999,4
0912930306,25434.78,6
0913206501,68086.94,4
0913206502,126709.22,3
0913206503,21130.43,4
0913206504,7019.01,3
0913206505,26021.73,8
0913206506,43728.25,6
0913267701,91672.06999999999,8
0913267702,37426.21,6
0913267702,37426.21,8
0913267703,47508.17,4
0913267704,68508.18,6
0913267705,43406.52,6
0913267706,47360.63,8
0913300701,51393.409999999996,10
0913300702,33049.17,6
0913300703,35651.78,7
0913300704,15393.42,6
0913300705,28755.719999999998,6
0913300706,153860.6,7
0913300706,153860.6,8
0913317501,27244.55,10
0913317503,42013.84,5
0913317504,87774.42,8
0913317505,126811.9,10
0913317505,126811.9,10
0913317506,56861.380000000005,4
0913340701,41508.17,1
0913340702,209016.36000000002,10
0913340703,61721.29,6
0913340704,35655.7,8
0913340705,42418.02,1
0913340706,44016.37,5
0913343901,152437.44,6
0913343902,87016.23,8
0913343903,48546.17,6
0913343904,63097.799999999996,1
0913343905,46956.51,10
0913343906,21820.09,6
0913361201,20138.109999999997,8
0913361203,88451.07999999999,6
0913361204,23867.4,3
0913361205,45174.020000000004,4
0913361206,21779.0,8
0913439401,86426.34,8
0913439402,70405.41,7
0913439403,66221.88,6
0913439404,45635.83,10
0913439405,45943.99,6
0913439406,29029.88,5
0913481601,55755.72,8
0913481602,36393.43,6
0913481603,94652.45,6
